Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
25615;VILLARS LES BLAMONT;25310;;VILLARS LES BLAMONT;47.368383721,6.871414913
25619;LES VILLEDIEU;25240;;LES VILLEDIEU;46.713906258,6.26583065
25622;VILLERS BUZON;25170;;VILLERS BUZON;47.228558434,5.852186748
25625;VILLERS LA COMBE;25510;;VILLERS LA COMBE;47.240809828,6.473842387
25627;VILLERS SOUS CHALAMONT;25270;;VILLERS SOUS CHALAMONT;46.901588322,6.045328224
25632;VOUJEAUCOURT;25420;;VOUJEAUCOURT;47.473552905,6.782505604
26005;ALLAN;26780;;ALLAN;44.494772796,4.798705608
26012;ARNAYON;26470;;ARNAYON;44.493378659,5.311424062
26018;AULAN;26570;;AULAN;44.229871632,5.421906115
26025;BARNAVE;26310;;BARNAVE;44.657417517,5.36704127
26030;LA BATIE DES FONDS;26310;;LA BATIE DES FONDS;44.515357022,5.629605743
26054;BOUCHET;26790;;BOUCHET;44.297889924,4.884267214
26055;BOULC;26410;;BOULC;44.637864001,5.584752035
26055;BOULC;26410;RAVEL ET FERRIERS;BOULC;44.637864001,5.584752035
26058;BOURG LES VALENCE;26500;;BOURG LES VALENCE;44.965074915,4.894101357
26065;CHABRILLAN;26400;;CHABRILLAN;44.713207575,4.96041939
26066;LE CHAFFAL;26190;;LE CHAFFAL;44.873527478,5.178527282
26069;CHAMALOC;26150;;CHAMALOC;44.812163115,5.385542014
26070;CHAMARET;26230;;CHAMARET;44.394882513,4.875950662
26071;CHANOS CURSON;26600;;CHANOS CURSON;45.05746748,4.918170247
26075;LA CHARCE;26470;;LA CHARCE;44.466451658,5.444633077
26079;CHARPEY;26300;ST DIDIER DE CHARPEY;CHARPEY;44.943465377,5.079788339
26080;CHASTEL ARNAUD;26340;;CHASTEL ARNAUD;44.659465081,5.209842724
26085;CHATEAUNEUF DU RHONE;26780;;CHATEAUNEUF DU RHONE;44.503480345,4.724639081
26086;CHATILLON EN DIOIS;26410;CREYERS;CHATILLON EN DIOIS;44.727672729,5.527827656
26089;CHAUDEBONNE;26110;;CHAUDEBONNE;44.474916997,5.23866199
26092;CHAVANNES;26260;;CHAVANNES;45.103660246,4.924426332
26094;CLAVEYSON;26240;;CLAVEYSON;45.173018025,4.933788902
26096;CLERIEUX;26260;;CLERIEUX;45.080270594,4.954954155
